test,trial,block,jaccard
tier12,0,1,0.5500
tier12,0,2,0.5000
tier12,0,3,0.4000
tier12,0,4,0.5833
drop10,0,1,0.6000
drop10,0,2,0.6667
drop10,0,3,0.7368
drop10,0,4,0.5517
drop10,1,1,0.7059
drop10,1,2,0.6667
drop10,1,3,0.8571
drop10,1,4,0.9583
drop10,2,1,0.6000
drop10,2,2,0.7000
drop10,2,3,0.4167
drop10,2,4,0.6522
drop10,3,1,0.7059
drop10,3,2,0.7000
drop10,3,3,0.7619
drop10,3,4,0.9200
drop10,4,1,0.4583
drop10,4,2,0.8000
drop10,4,3,0.8947
drop10,4,4,1.0000
drop10,5,1,0.6000
drop10,5,2,0.7000
drop10,5,3,1.0000
drop10,5,4,0.5517
drop10,6,1,0.6000
drop10,6,2,0.9000
drop10,6,3,0.9474
drop10,6,4,0.6667
drop10,7,1,0.6000
drop10,7,2,0.7000
drop10,7,3,0.7619
drop10,7,4,0.8000
drop10,8,1,0.5500
drop10,8,2,0.7000
drop10,8,3,0.5217
drop10,8,4,0.6522
drop10,9,1,0.6000
drop10,9,2,0.8696
drop10,9,3,0.5217
drop10,9,4,0.6522
drop10,10,1,0.6000
drop10,10,2,0.6667
drop10,10,3,0.9474
drop10,10,4,0.5517
drop10,11,1,0.7059
drop10,11,2,0.9524
drop10,11,3,0.7895
drop10,11,4,0.9565
drop10,12,1,0.6000
drop10,12,2,0.8333
drop10,12,3,0.9474
drop10,12,4,0.7826
drop10,13,1,0.6000
drop10,13,2,0.6667
drop10,13,3,0.7368
drop10,13,4,0.6522
drop10,14,1,0.6000
drop10,14,2,0.9000
drop10,14,3,0.4800
drop10,14,4,0.6522
drop10,15,1,0.6000
drop10,15,2,0.8696
drop10,15,3,0.8636
drop10,15,4,0.5517
drop10,16,1,0.6000
drop10,16,2,0.6000
drop10,16,3,0.3030
drop10,16,4,0.3056
drop10,17,1,0.6000
drop10,17,2,1.0000
drop10,17,3,0.9474
drop10,17,4,0.5517
drop10,18,1,1.0000
drop10,18,2,0.6500
drop10,18,3,0.4000
drop10,18,4,1.0000
drop10,19,1,0.7059
drop10,19,2,0.7500
drop10,19,3,0.4138
drop10,19,4,0.6957
drop10,20,1,0.4583
drop10,20,2,0.7000
drop10,20,3,1.0000
drop10,20,4,0.9565
drop10,21,1,0.5500
drop10,21,2,0.6667
drop10,21,3,0.5600
drop10,21,4,0.5517
drop10,22,1,0.6000
drop10,22,2,0.7000
drop10,22,3,0.5714
drop10,22,4,0.4375
drop10,23,1,0.5000
drop10,23,2,0.6667
drop10,23,3,0.9474
