src,dst,sign,weight,share,tier,scope,citation,doi_or_url,fetched,evidence
P01,S03,+,3,,2,abu_dhabi,"Teixido 2021, COVID-19 measures and air quality in Abu Dhabi",10.1007/s11869-021-01000-2,yes,"During the 2020 lockdown, with mobility down 36.2 % on average, NO2 fell by 40 % (18.1 ug/m3 on average) across Abu Dhabi stations."
P01,S04,-,2,,2,abu_dhabi,"Teixido 2021, COVID-19 measures and air quality in Abu Dhabi",10.1007/s11869-021-01000-2,yes,"Ozone rose 17.0 % during the lockdown, attributed to lower O3 titration by NO after traffic emission cuts."
S15,S04,+,1,,2,abu_dhabi,"Teixido 2021, COVID-19 measures and air quality in Abu Dhabi",10.1007/s11869-021-01000-2,yes,"Temperature rose from 21.0 degC pre-lockdown to 31.0 and 34.7 degC and net radiation from 133.5 to 151 W/m2, which the authors say might have enhanced the O3 formation potential."
P18,S02,+,3,,2,abu_dhabi,"Teixido 2021, COVID-19 measures and air quality in Abu Dhabi",10.1007/s11869-021-01000-2,yes,"PM10 and PM2.5 rose 33.4 % and 45.0 % during lockdown despite traffic cuts, and the PM2.5/PM10 ratio falling to 0.24 indicates a higher desert dust influence."
P18,S02,+,3,,2,abu_dhabi,"Hamdan 2021, Physicochemical characterization of PM10 aerosols in a harsh environment",10.3389/fenvs.2021.666678,yes,"The main source of PM10 in Abu Dhabi is desert dust, Si and Ca contribute 32 and 45 ug/m3 on average to a PM10 mass of 137 (cold season) to 210 ug/m3 (hot season)."
S12,S02,+,3,,2,abu_dhabi,"Hamdan 2021, Physicochemical characterization of PM10 aerosols in a harsh environment",10.3389/fenvs.2021.666678,yes,"PM10 peaked at 761 ug/m3 during a severe dust storm on 31 July against a seasonal mean of 210 ug/m3."
P19,S02,+,1,0.04,2,abu_dhabi,"Hamdan 2021, Physicochemical characterization of PM10 aerosols in a harsh environment",10.3389/fenvs.2021.666678,yes,"Cl in PM10 averaged 7.4 ug/m3 and Na and Cl originate from the sea and not from any industrial source, about 4 % of the 137 to 210 ug/m3 PM10 mass."
S09,S01,+,2,,2,abu_dhabi,"Hamdan 2021, Physicochemical characterization of PM10 aerosols in a harsh environment",10.3389/fenvs.2021.666678,yes,"S as sulfates contributes an average of 10 ug/m3 and sulfates are present mostly in the fine size fraction of PM10."
S09,S01,+,3,0.37,2,uae,"Anwar 2024, Source apportionment of PM2.5 and PM10 near an urban roadside site using PMF",10.1016/j.envadv.2024.100573,yes,"Secondary aerosols dominate the fine fraction of PM with about 37 % of total PM2.5 mass at a Sharjah roadside site."
P18,S02,+,3,0.50,2,uae,"Anwar 2024, Source apportionment of PM2.5 and PM10 near an urban roadside site using PMF",10.1016/j.envadv.2024.100573,yes,"Mineral dust dominates the coarse fraction of PM10 with about 50 % of the total mass."
P02,S01,+,2,,2,uae,"Anwar 2024, Source apportionment of PM2.5 and PM10 near an urban roadside site using PMF",10.1016/j.envadv.2024.100573,yes,"PMF identified traffic as one of six PM2.5 factors and traffic emissions were found to be significant contributors to both PM2.5 and PM10 at a site beside a busy Sharjah highway."
P19,S01,+,1,,2,uae,"Anwar 2024, Source apportionment of PM2.5 and PM10 near an urban roadside site using PMF",10.1016/j.envadv.2024.100573,yes,"Sea salt was resolved as one of six PM2.5 source factors by PMF."
P16,S01,+,1,,2,uae,"Anwar 2024, Source apportionment of PM2.5 and PM10 near an urban roadside site using PMF",10.1016/j.envadv.2024.100573,yes,"Fugitive dust was resolved as one of six PM2.5 source factors by PMF."
S17,S01,+,1,,2,uae,"Anwar 2024, Source apportionment of PM2.5 and PM10 near an urban roadside site using PMF",10.1016/j.envadv.2024.100573,yes,"Backward trajectory analysis indicated the influence of different wind regimes on air mass transport, with contributions from the Arabian Gulf, Arabian Sea, Oman and Iran."
S14,S02,+,2,,2,abu_dhabi,"Saqer 2024, Spatio-temporal characterization of PM10 across Abu Dhabi Emirate",10.1016/j.heliyon.2024.e32812,yes,"The western region shows peak PM10 in summer when winds are predominantly northerly or northwesterly, and the central region shows a July to August surge from a mix of strong winds and high temperatures."
S15,S12,+,1,,2,abu_dhabi,"Saqer 2024, Spatio-temporal characterization of PM10 across Abu Dhabi Emirate",10.1016/j.heliyon.2024.e32812,yes,"The seasonal variability of PM10 in the UAE is closely linked to the seasonal variation of heat waves and dust storms, with summer high temperatures and arid conditions creating favourable conditions."
S12,S02,+,3,,2,abu_dhabi,"Al Katheeri 2012, Gaseous and particulate pollutants in ambient air in Al Mirfa City UAE",10.4236/JEP.2012.37077,yes,"Dust has significant impact on air quality, with elevated PM10 exceedances in several instances associated with regional sandstorms during 2007 to 2009 monitoring."
S15,S04,+,1,,2,abu_dhabi,"Phanikumar 2020, Particulate matter and gaseous pollutants in urban and rural regions over Abu Dhabi",10.1016/j.jastp.2020.105217,yes,"O3 shows a noontime maximum in urban and rural regions in all seasons and the linear relationship between maximum ozone and maximum temperature holds up to about 313 K."
S09,S01,+,3,0.33,1,gulf,"Faridi 2022, Source apportionment of PM in 22 Eastern Mediterranean Region countries, systematic review",10.1016/j.envpol.2022.119889,yes,"Across 48 EMR PM2.5 source studies secondary aerosols contributed 12 to 51 % (33 % average), the largest share, with no UAE study available."
P18,S01,+,3,0.30,1,gulf,"Faridi 2022, Source apportionment of PM in 22 Eastern Mediterranean Region countries, systematic review",10.1016/j.envpol.2022.119889,yes,"Dust contributed 8 to 80 % of ambient PM2.5 (30 % EMR average) across the reviewed source apportionment studies."
P18,S02,+,3,0.49,1,gulf,"Faridi 2022, Source apportionment of PM in 22 Eastern Mediterranean Region countries, systematic review",10.1016/j.envpol.2022.119889,yes,"For PM10 the most dominant source was dust with 7 to 95 % (49 % EMR average)."
P02,S01,+,2,,1,gulf,"Faridi 2022, Source apportionment of PM in 22 Eastern Mediterranean Region countries, systematic review",10.1016/j.envpol.2022.119889,yes,"Traffic contributed approximately 4 to 49 % of ambient PM2.5 and mixed traffic industry residential sources 4 to 69 % across EMR studies."
P13,S01,+,2,,1,gulf,"Faridi 2022, Source apportionment of PM in 22 Eastern Mediterranean Region countries, systematic review",10.1016/j.envpol.2022.119889,yes,"Industries contributed approximately 1 to 53 % of ambient PM2.5 across EMR studies."
P19,S01,+,1,,1,gulf,"Faridi 2022, Source apportionment of PM in 22 Eastern Mediterranean Region countries, systematic review",10.1016/j.envpol.2022.119889,yes,"Sea salt contributed approximately 3 to 29 % of ambient PM2.5 across EMR studies."
P14,S11,+,3,,2,gulf,"Pfannerstill 2019, Shipborne total OH reactivity around the Arabian Peninsula and ozone chemistry",10.5194/acp-19-11501-2019,yes,"Total OH reactivity peaked at 32.8 s-1 over the Arabian Gulf when air came from petroleum extraction and processing facilities, and the NOx to VOC reactivity ratio was favourable for ozone formation almost all around the peninsula due to ship exhaust and oil and gas production."
P20,S11,+,2,,2,gulf,"Pfannerstill 2019, Shipborne total OH reactivity around the Arabian Peninsula and ozone chemistry",10.5194/acp-19-11501-2019,yes,"Heavy maritime traffic over the Red Sea, Gulf of Aden and Gulf of Oman gave median OH sinks of 7.9 to 8.5 s-1 and NOx and VOCs from ship exhausts made the regime favourable for ozone formation."
S15,S11,+,2,,2,gulf,"Pfannerstill 2019, Shipborne total OH reactivity around the Arabian Peninsula and ozone chemistry",10.5194/acp-19-11501-2019,yes,"Strong solar irradiation, high temperatures and large anthropogenic emissions of reactive trace gases result in intense photochemical activity, especially during the summer months."
S11,S04,+,3,,2,gulf,"Tadic 2020, Net ozone production and its relationship to NOx and VOCs around the Arabian Peninsula",10.5194/acp-20-6769-2020,yes,"Net ozone production rates were greatest over the Arabian Gulf at 32 ppbv per day, versus 16 ppbv per day over the Gulf of Oman and near zero over the Arabian Sea."
P01,S11,+,3,,2,gulf,"Tadic 2020, Net ozone production and its relationship to NOx and VOCs around the Arabian Peninsula",10.5194/acp-20-6769-2020,yes,"Constrained by HCHO/NO2 ratios, net O3 production in the marine boundary layer around the Arabian Peninsula mostly occurs in NOx-limited regimes, so added NOx raises ozone production."
