src,dst,sign,weight,share,tier,scope,citation,doi_or_url,fetched,evidence
S21,X09,+,1,,2,uae,"Yeatts 2012, Indoor air pollutants and health in the UAE",10.1289/ehp.1104090,yes,"In a 628-household nationally representative UAE study the authors state there was evidence that outdoor PM may have had an important contribution to indoor PM, with outdoor PM substantially influenced by the desert environment and frequent dust storms."
S22,X08,+,2,,2,global,"Dons 2019, Transport most likely to cause peak exposures",10.1016/J.ATMOSENV.2019.06.035,yes,"Across 2053 personal black carbon monitoring days the 8 % of time spent in transport produced 32.7 % of exposure peaks and 24.1 % of in-transport measurements were peaks, while peaks overall contributed 21.0 % of total exposure."
X04,X06,+,2,,2,global,"Boniardi 2021, Personal exposure to equivalent black carbon in children in Milan",10.1016/j.envpol.2021.116530,yes,"Among 73 and 89 schoolchildren the highest exposure peaks occurred during the home-to-school commute, and total time spent in a car and duration of the commute were important predictors of personal exposure and inhaled dose."
X09,X06,+,3,,2,global,"Boniardi 2021, Personal exposure to equivalent black carbon in children in Milan",10.1016/j.envpol.2021.116530,yes,"Children received most of their daily black carbon dose at school and home, 82 % combined."
X09,X06,+,3,,2,global,"Mazaheri 2014, School children's personal exposure to ultrafine particles",10.1021/es403721w,yes,"For 137 children from 25 Brisbane schools the home microenvironment contributed 55.3 % of the total daily alveolar ultrafine particle dose."
X10,X06,+,3,,2,global,"Mazaheri 2014, School children's personal exposure to ultrafine particles",10.1021/es403721w,yes,"School contributed 35.3 % of children's total daily alveolar ultrafine particle dose, commuting 4.5 % and other 5.0 %."
X10,X06,+,3,,2,global,"Faria 2020, Children's exposure and dose assessment to particulate matter in Lisbon",10.1016/j.buildenv.2020.106666,yes,"On weekdays classrooms contributed 42 % of PM2.5 and 50 % of PM10 daily exposure, and 36 % and 41 % of the inhaled dose, for 1189 surveyed children."
X04,X06,+,1,,2,global,"Mazaheri 2014, School children's personal exposure to ultrafine particles",10.1021/es403721w,yes,"Commuting contributed 4.5 % of children's total daily alveolar ultrafine particle dose but was among the three activities with the highest dose intensity."
X03,X06,+,1,,2,global,"Mazaheri 2014, School children's personal exposure to ultrafine particles",10.1021/es403721w,yes,"Outdoor activities, eating or cooking at home, and commuting were the three activities with the highest dose intensities."
S08,X10,+,2,,2,global,"Mazaheri 2014, School children's personal exposure to ultrafine particles",10.1021/es403721w,yes,"Children's exposure during school hours was more strongly influenced by urban background particles than by traffic near the school, and mean indoor dose was never higher than outdoor at any school."
S22,X06,+,1,,2,global,"Jeong 2018, Peak concentrations of black carbon encountered by elementary school children",10.1016/j.scitotenv.2018.04.399,yes,"For 40 Seoul children aged 10 to 12, trips by diesel vehicle occupied 0.3 % of daily time but contributed 2 % of total daily black carbon exposure, and walking at 0.09 % of time gave 1.6 % of daily potential dose."
X05,X06,+,1,,2,global,"Arar 2021, Improving the indoor air quality in nursery buildings in the UAE",10.3390/ijerph182212091,yes,"Children inhale indoor air at 400 mL per minute per kg body weight, 2.76 times more than adults, stated as the reason nursery indoor air matters."
S01,X01,+,3,,3,uae,"HEI 2022, State of Global Air country report United Arab Emirates",https://cdn.zevross.com/hei/country-reports/v1/templates/United%20Arab%20Emirates.html,yes,"The population-weighted annual average PM2.5 exposure for the UAE was 44 ug/m3 in 2019, range 33 to 58, estimated from satellite data, ground monitoring and chemical transport models, and 98 % of the population lives where PM2.5 exceeds the WHO interim target of 35 ug/m3."
S04,X01,+,1,,3,uae,"HEI 2022, State of Global Air country report United Arab Emirates",https://cdn.zevross.com/hei/country-reports/v1/templates/United%20Arab%20Emirates.html,yes,"Population-weighted seasonal ozone exposure for the UAE was 56 ppb in 2019, down from 58 ppb in 2010 (ozone exposure is reported alongside PM2.5 exposure, no separate ozone exposure node exists)."
