src,dst,sign,weight,share,tier,scope,citation,doi_or_url,fetched,evidence
A05,S20,-,3,,2,global,"Ryan 2013, Impact of an anti-idling campaign on outdoor air quality at four urban schools",10.1039/c3em00377a,yes,"After the anti-idling campaign the school-minus-community PM2.5 difference at the school with the most buses (n=39) fell from 4.11 to 0.99 ug/m3 (p<0.05), while schools with 5 to 11 buses showed no significant change."
A05,S08,-,3,,2,global,"Ryan 2013, Impact of an anti-idling campaign on outdoor air quality at four urban schools",10.1039/c3em00377a,yes,"At the school with the most buses, the school-minus-community particle number concentration fell from 11,560 to 1,690 particles/cm3 after the campaign (p<0.05)."
A05,S07,-,3,,2,global,"Ryan 2013, Impact of an anti-idling campaign on outdoor air quality at four urban schools",10.1039/c3em00377a,yes,"The school-minus-community elemental carbon difference fell from 0.40 to 0.15 ug/m3 at the school with the most buses after the anti-idling campaign."
A05,P05,-,2,,2,global,"Mendoza 2022, Air quality and behavioral impacts of anti-idling campaigns in school drop-off zones",10.3390/atmos13050706,yes,"Two anti-idling campaigns in Salt Lake County produced a 38% decrease in idling time and an 11% decrease in the number of vehicles idling at school drop-off zones, with air quality improvement mid-campaign masked by seasonal variability and inversions."
A05,P05,-,1,,4,uae,"Gulf News, Leaving your vehicle engine running while idle incurs Dh300 fine (Abu Dhabi Police)",https://gulfnews.com/amp/story/uae%2Fleaving-your-vehicle-engine-running-while-idle-incurs-dh300-fine-1.63897279,yes,"Abu Dhabi Police fine motorists Dh300 for leaving the engine running unattended at ATMs, shops or fuel stations, with theft and child safety as the stated reasons and no air quality rationale, so the UAE rule exists but is not enforced as an emissions measure."
A08,S03,-,2,,2,global,"Tong 2025, Further improvement in London's air quality demands more than the ULEZ",10.1038/s44407-025-00030-9,yes,"Weather-normalised NO2 at central London traffic sites fell 19.6% (about 13.3 ug/m3) three months after ULEZ1 and 17.8% after 11 months, with 6.6% at urban background sites, while the 2023 expansion produced no statistically significant NO2 change."
A08,S01,-,1,,2,global,"Tong 2025, Further improvement in London's air quality demands more than the ULEZ",10.1038/s44407-025-00030-9,yes,"The impact of ULEZ1 on PM2.5 was limited, with only central London traffic sites showing a 12.7% reduction (about 1.8 ug/m3) after three months and no significant change at background sites."
A08,P01,-,2,,2,global,"Tong 2025, Further improvement in London's air quality demands more than the ULEZ",10.1038/s44407-025-00030-9,yes,"Before ULEZ1 around 39% of vehicles (about 35,578) entering central London were non-compliant with Euro 4 petrol and Euro 6 diesel standards, and NOx at central traffic sites fell 28.8% (about 48.1 ug/m3) three months after ULEZ1, while after the 2023 expansion non-compliant vehicles fell only 2.7 to 4.7% with no detectable NOx change."
A15,X10,-,3,,2,global,"Simona 2025, Classroom air quality in a randomized crossover trial with portable HEPA air cleaners",10.1038/s41370-025-00743-9,yes,"In HEPA classrooms average school-year PM2.5 was 39.9% lower (0.581 ug/m3, p<0.001) than non-HEPA classrooms."
A15,S21,-,3,,2,global,"Simona 2025, Classroom air quality in a randomized crossover trial with portable HEPA air cleaners",10.1038/s41370-025-00743-9,yes,"Infiltration of outdoor PM2.5 into classrooms was 13.8% to 82.4% lower in HEPA classrooms than non-HEPA classrooms, depending on the school."
