src,dst,sign,weight,share,tier,scope,citation,doi_or_url,fetched,evidence
S28,X15,+,3,,2,global,"Patel 2016, Challenges in evaluating PM commuting exposure and mask efficacy",10.1016/j.scitotenv.2015.10.163,yes,"Compared to cars, average motorcycle PM exposures were four times higher for PM2.5 and 13 times higher for PM10 in Makassar."
A22,X15,-,2,,2,global,"Patel 2016, Challenges in evaluating PM commuting exposure and mask efficacy",10.1016/j.scitotenv.2015.10.163,yes,"Only surgical masks were consistent in lowering PM2.5 and PM10 for commuters (p<0.01), bandanas and motorcycle masks were not."
S18,S28,+,1,,1,global,"Ramel-Delobel 2024, Air pollution exposure in active versus passive travel modes meta-analysis",10.1016/j.envres.2024.119666,yes,"Across 52 studies users of motorized modes including motorcycle were consistently the most exposed to CO and NO2 compared with active modes, motorcycle ratios rest on few mostly Asian studies."
P31,S29,+,3,,2,global,"Zhang 2017, Comparison of PM2.5 exposure in hazy and non-hazy days in Nanjing",10.4209/aaqr.2016.07.0301,yes,"Street food vendors with cooking emissions were the microenvironments with the highest personal PM2.5 levels of 19 microenvironment types on both hazy and non-hazy days."
S29,X16,+,3,,2,global,"Zhang 2017, Comparison of PM2.5 exposure in hazy and non-hazy days in Nanjing",10.4209/aaqr.2016.07.0301,yes,"Personal PM2.5 measured at street food vendor stalls was the highest of all microenvironments, personal to ambient ratio exceeded 1.0 on non-hazy days because of local sources."
X14,E19,+,3,,1,global,"Schlunssen 2023, Prevalences and levels of occupational exposure to silica asbestos and coal, WHO/ILO Joint Estimates",10.1016/j.envint.2023.107980,yes,"Occupational exposure to silica dust causes pneumoconiosis, and the pooled prevalence of silica exposure among construction workers was 0.89 (95% CI 0.84 to 0.93, 17 studies)."
D09,X14,+,2,,1,global,"Schlunssen 2023, Prevalences and levels of occupational exposure to silica asbestos and coal, WHO/ILO Joint Estimates",10.1016/j.envint.2023.107980,yes,"For the construction sector the pooled prevalence of occupational silica exposure was 0.89 and of asbestos exposure 0.77, the largest bodies of evidence were construction, manufacturing and mining."
X14,E18,+,3,,1,global,"Boadu 2023, Work-related respiratory health conditions among construction workers systematic review",10.1136/bmjresp-2023-001736,yes,"25 studies identified 16 respiratory conditions in construction workers, cough, dyspnoea and asthma the top three, with dust, respirable crystalline silica, fumes, vapours, asbestos and gases as the hazards, and extended exposure time increasing risk."
P16,S30,+,2,,2,global,"Bello 2019, Occupational exposures to respirable silica and dust in demolition crushing and chipping",10.1093/annweh/wxy089,yes,"Area samples at the perimeter of demolition and crushing sites were lower than the personal PEL but bystanders at crushing sites could be exposed to higher levels, and real-time monitoring showed very high short-term peaks during demolition."
S30,X17,+,1,,2,global,"Bello 2019, Occupational exposures to respirable silica and dust in demolition crushing and chipping",10.1093/annweh/wxy089,yes,"Perimeter area samples (n=33) were collected to assess potential bystanders' exposures and showed bystanders at crushing sites could be exposed to higher levels than at demolition sites."
A12,X14,-,2,,2,global,"Bello 2019, Occupational exposures to respirable silica and dust in demolition crushing and chipping",10.1093/annweh/wxy089,yes,"Crushing tender exposures fell below the OSHA PEL of 50 ug/m3 when the crusher's water spraying system was used but not with a water cannon, chipping workers stayed above the PEL even with N95 respirators."
D16,E18,+,3,,2,gulf,"Pradhan 2019, Heat stress impacts on cardiac mortality in Nepali migrant workers in Qatar",10.1159/000500853,yes,"CVD caused 22 percent of Nepali migrant worker deaths in Qatar in the cool season and 58 percent in the hot season, strongly correlated with monthly afternoon WBGT, about 200 of 571 CVD deaths 2009 to 2017 judged preventable with heat protection."
X14,E18,+,3,,2,gulf,"Pradhan 2019, Heat stress impacts on cardiac mortality in Nepali migrant workers in Qatar",10.1159/000500853,yes,"Most Nepali construction migrants in Qatar worked in WBGT above 31 C every working day in hot months, annual death rate 150 per 100000, mainly cardiovascular."
D16,X14,+,2,,2,gulf,"Moohialdin 2022, Physiological impacts on construction workers under extremely hot and humid weather",10.1007/s00420-021-01785-w,yes,"On Saudi construction sites in extremely hot and humid weather, heart rate of 35 multinational workers exceeded the acceptable physiological zones, with activity type and worker status significant."
A25,S18,-,1,,1,global,"Huang 2021, Review of strategies for mitigating roadside air pollution in urban street canyons",10.1016/j.envpol.2021.116971,yes,"Porous barriers such as trees and hedges and solid barriers such as noise fences use aerodynamic effects to ease roadside air pollution, and building geometry rules can significantly promote dispersion."
S30,X17,+,1,,3,global,"Kang 2021, Real-time automated monitoring system for hazardous pollutants at the construction site",10.1016/j.jhazmat.2020.123483,yes,"Management of dust from construction sites is essential to minimise the health damage of nearby residents, motivating real-time perimeter monitoring."
X18,E01,+,3,,1,global,"HEI 2022, Special Report 23 Long-term exposure to traffic-related air pollution executive summary",https://www.healtheffects.org/system/files/hei-special-report-23-executive-summary_1.pdf,yes,"High confidence in an association between long-term TRAP exposure and all-cause mortality, summary RR 1.04 (1.01 to 1.06) per 10 ug/m3 NO2 from 11 studies."
X18,E02,+,3,,1,global,"HEI 2022, Special Report 23 Long-term exposure to traffic-related air pollution executive summary",https://www.healtheffects.org/system/files/hei-special-report-23-executive-summary_1.pdf,yes,"High confidence for circulatory and IHD mortality, circulatory mortality RR 1.04 (1.00 to 1.09) per 10 ug/m3 NO2, and PM10 with IHD events 1.14 (0.99 to 1.31) per 10 ug/m3 with a monotonic exposure response."
X18,E16,+,2,,1,global,"HEI 2022, Special Report 23 Long-term exposure to traffic-related air pollution executive summary",https://www.healtheffects.org/system/files/hei-special-report-23-executive-summary_1.pdf,yes,"Moderate to high confidence for lung cancer mortality, RR 1.04 (1.01 to 1.07) per 10 ug/m3 NO2 from 5 studies."
X18,E17,+,3,,1,global,"HEI 2022, Special Report 23 Long-term exposure to traffic-related air pollution executive summary",https://www.healtheffects.org/system/files/hei-special-report-23-executive-summary_1.pdf,yes,"Moderate to high confidence for asthma onset in adults, RR 1.10 (1.01 to 1.21) per 10 ug/m3 NO2."
X18,E04,+,2,,1,global,"HEI 2022, Special Report 23 Long-term exposure to traffic-related air pollution executive summary",https://www.healtheffects.org/system/files/hei-special-report-23-executive-summary_1.pdf,yes,"Moderate to high confidence for asthma onset in children, RR 1.05 (0.99 to 1.12) per 10 ug/m3 NO2."
X18,E03,+,2,,1,global,"HEI 2022, Special Report 23 Long-term exposure to traffic-related air pollution executive summary",https://www.healtheffects.org/system/files/hei-special-report-23-executive-summary_1.pdf,yes,"Moderate to high confidence for acute lower respiratory infections in children, RR 1.09 (1.03 to 1.16) per 10 ug/m3 NO2, moderate confidence for respiratory mortality RR 1.05."
X18,E08,+,2,,1,global,"HEI 2022, Special Report 23 Long-term exposure to traffic-related air pollution executive summary",https://www.healtheffects.org/system/files/hei-special-report-23-executive-summary_1.pdf,yes,"NO2 associated with diabetes prevalence, summary estimate 1.09 (1.02 to 1.17) per 10 ug/m3, supported by consistent positive but imprecise estimates for other pollutants."
X18,E07,+,2,,1,global,"HEI 2022, Special Report 23 Long-term exposure to traffic-related air pollution executive summary",https://www.healtheffects.org/system/files/hei-special-report-23-executive-summary_1.pdf,yes,"Moderate confidence for term low birth weight, RR 1.11 (1.03 to 1.20) per 5 ug/m3 PM2.5, and small for gestational age 1.09 (1.04 to 1.14), preterm birth largely null."
A12,X14,-,2,,2,global,"Tjoe Nij 2003, Dust control measures in the construction industry",10.1093/annhyg/meg023,yes,"Short-term measurements showed reduction factors above 70 percent when wet dust suppression or local exhaust ventilation was used, while full-shift respirable quartz reached 63 times the MAC and more than half of measurements exceeded it."
X14,E19,+,3,,2,global,"Rappaport 2003, Excessive exposure to silica in the US construction industry",10.1093/annhyg/meg025,yes,"Probability of overexposure above the 0.05 mg/m3 silica OEL was 64.5 to 100 percent across bricklayers, painters, operating engineers and laborers at 36 sites, wet suppression cut laborer silica exposure about 3 fold and ventilated cabs about 6 fold."
A12,S30,-,3,,2,global,"Chang 2010, Fugitive dust source profiles and control strategies at gravel processing sites in Taiwan",10.3155/1047-3289.60.10.1262,yes,"PM10 at the site boundary ranged 135 to 550 ug/m3, wet suppression on paved roads gave 50 to 83 percent control efficiency, surfactant spraying on unpaved roads about 93 percent, revegetation 48 to 64 percent."
P16,S30,+,3,,2,global,"Chang 2010, Fugitive dust source profiles and control strategies at gravel processing sites in Taiwan",10.3155/1047-3289.60.10.1262,yes,"Fugitive dust from piles, unpaved roads, crushers and bare ground produced boundary TSP of 280 to 1290 ug/m3 and PM10 of 135 to 550 ug/m3, above the 125 ug/m3 daily standard."
A12,X14,-,2,,2,global,"Middaugh 2012, Cut-off saw exposure control methods for respirable dust and silica in roadway construction",10.1080/15459624.2012.658265,yes,"Wet suppression cut respirable dust from 16.4 to 3.60 mg/m3 (78 percent) and local exhaust to 4.40 mg/m3 (73 percent) during curb cutting, yet workers still exceed the quartz TLV within an hour."
A24,S30,-,2,,2,global,"Ham 2024, Particulate matter reduction efficiency of sprinkler system as targeted control for construction activity",10.1016/j.heliyon.2024.e27765,yes,"In a 4 m by 4 m dust chamber a targeted sprinkler cut PM10 by 95 percent with water at 115 bar and 83 percent at 100 bar, dust suppressant peaked at 83 percent at 100 bar."
S14,X17,+,2,,3,global,"Choi 2023, Effect of dust barriers on PM dispersion from a construction site using CFD",10.1016/j.envpol.2023.122679,yes,"CFD under four wind directions showed PM exposure of residents next to a construction site varies by up to 2.3 times with wind direction."
A12,X17,-,2,,3,global,"Choi 2023, Effect of dust barriers on PM dispersion from a construction site using CFD",10.1016/j.envpol.2023.122679,yes,"Optimal dust barrier heights determined by CFD reduced resident PM exposure and a flexible height approach was effective in all four wind directions."
A24,X17,-,1,,3,global,"Choi 2023, Effect of dust barriers on PM dispersion from a construction site using CFD",10.1016/j.envpol.2023.122679,yes,"Resident exposure depended on wind direction by up to 2.3 times, so control aimed at the downwind side addresses the dominant exposure condition (mechanism only)."
S30,X17,+,2,,3,global,"Kim 2021, IoT-based particulate matter monitoring system for construction sites",10.3390/ijerph182111510,yes,"PM generated on construction sites poses serious health risks to field workers and residents living near construction sites and must be managed in real time at multiple locations."
