src,dst,sign,weight,share,tier,scope,citation,doi_or_url,fetched,evidence
D26,P32,+,3,,4,global,AFDC 2015; Idle reduction for heavy-duty trucks,https://afdc.energy.gov/files/u/publication/hdv_idling_2015.pdf,yes,"Idling a heavy-duty truck consumes about 0.8 gallon of fuel per hour and the cab comfort table lists idling fuel use at 0.6 to 1.5 gal/hr."
P32,P05,+,3,,4,global,AFDC 2015; Idle reduction for heavy-duty trucks,https://afdc.energy.gov/files/u/publication/hdv_idling_2015.pdf,yes,"Rest-period idling that burns up to 1 billion gallons of fuel a year results in about 11 million tons of CO2 55000 tons of NOx and 400 tons of PM annually in the US."
P32,P25,+,1,,4,global,AFDC 2015; Idle reduction for heavy-duty trucks,https://afdc.energy.gov/files/u/publication/hdv_idling_2015.pdf,yes,"Argonne estimates rest-period idling emits about 11 million tons of carbon dioxide annually in the US."
D26,P05,+,2,,2,global,Kinsey 2007; Fine particle and gaseous emissions during school bus idling,10.1021/es0625024,yes,"PM2.5 mass and number NOx CO THC and formaldehyde emissions from six diesel school buses were measured over a simulated 10 min waiting period with an emissions pulse at restart."
D26,S31,+,1,,2,global,Richmond-Bryant 2009; PM2.5 and black carbon during school dismissals,10.1016/j.scitotenv.2009.01.046,yes,"Diesel idling and passing were both significant contributors to variability in log BC at the school block while local traffic explained 5.8 percent of BC variability and background PM2.5 80.9 percent."
D26,S22,+,1,,2,global,Behrentz 2005; School bus microenvironments and children's exposure,10.1080/10473289.2005.10464739,yes,"High-emitting buses exhibited high in-cabin concentrations both when following other diesel vehicles and when idling without another diesel vehicle in front of the bus."
P02,S31,+,2,,2,global,deSouza 2025; Traffic contribution to PM2.5 at bus stops Denver,10.3390/su17177707,yes,"Traffic-related emissions contributed about 2.5 to 6.6 ug/m3 of PM2.5 at eight bus stops against about 1 ug/m3 at the background site."
P27,S31,+,2,,2,global,Moolla 2015; BTEX exposure of diesel station workers at a bus depot,10.3390/ijerph120404101,yes,"At a diesel service station for public buses average benzene over the campaign exceeded the US EPA chronic inhalation reference concentration due to poor ventilation and high exposure duration."
S31,X19,+,1,,2,global,Behrentz 2005; School bus microenvironments and children's exposure,10.1080/10473289.2005.10464739,yes,"Mean exposures during bus commutes were 20 to 40 times higher than at bus stops and 50 to 200 times higher than at the loading and unloading zone depending on the pollutant."
S22,X19,+,3,,2,global,Behrentz 2005; School bus microenvironments and children's exposure,10.1080/10473289.2005.10464739,yes,"Across all pollutants mean concentrations during bus commutes were higher than in any other microenvironment measured."
