seed,block,jaccard
1,1,0.8500
1,2,0.6667
1,3,0.8947
1,4,0.5517
2,1,0.7059
2,2,0.6667
2,3,0.8571
2,4,0.9583
3,1,0.6000
3,2,0.8182
3,3,0.4000
3,4,0.6522
4,1,0.7059
4,2,0.7000
4,3,0.7619
4,4,1.0000
5,1,0.6000
5,2,0.5714
5,3,0.9474
5,4,0.7692
6,1,0.6000
6,2,0.7000
6,3,1.0000
6,4,0.5517
7,1,0.6000
7,2,0.7000
7,3,0.9474
7,4,0.6667
8,1,0.6000
8,2,0.7000
8,3,0.7143
8,4,0.8000
9,1,0.6000
9,2,0.7000
9,3,0.5714
9,4,0.4242
10,1,0.6000
10,2,0.8696
10,3,0.5455
10,4,0.4375
11,1,0.6000
11,2,0.6667
11,3,0.9474
11,4,0.5517
12,1,0.7059
12,2,0.8333
12,3,1.0000
12,4,0.9583
13,1,0.6000
13,2,0.8000
13,3,0.8947
13,4,0.7826
14,1,0.6000
14,2,0.6667
14,3,0.8947
14,4,0.5517
15,1,0.6000
15,2,0.7000
15,3,0.5217
15,4,0.6522
16,1,0.6000
16,2,0.4000
16,3,0.3529
16,4,0.5517
17,1,1.0000
17,2,0.7000
17,3,0.7619
17,4,0.9583
18,1,0.6000
18,2,0.7000
18,3,0.9474
18,4,0.5517
19,1,0.5000
19,2,0.7000
19,3,0.6316
19,4,1.0000
20,1,0.7059
20,2,0.7500
20,3,0.4138
20,4,0.6957
21,1,0.6000
21,2,0.9000
21,3,0.9474
21,4,0.7407
22,1,0.5217
22,2,0.6667
22,3,0.8095
22,4,1.0000
23,1,0.6000
23,2,0.8696
23,3,0.5455
23,4,0.4242
24,1,0.5000
24,2,0.7000
24,3,1.0000
24,4,1.0000
25,1,0.6000
25,2,0.9524
25,3,0.9474
25,4,0.5517
26,1,0.5000
26,2,0.7000
26,3,0.9474
26,4,1.0000
27,1,0.6000
27,2,0.7000
27,3,0.4800
27,4,0.6522
28,1,0.8500
28,2,0.8000
28,3,0.9474
28,4,0.5806
29,1,0.5000
29,2,0.7000
29,3,1.0000
29,4,1.0000
30,1,0.6000
30,2,0.7500
30,3,0.7619
30,4,0.5517
31,1,0.6000
31,2,0.7000
31,3,0.6316
31,4,0.5556
32,1,0.6000
32,2,0.8696
32,3,0.7619
32,4,0.5172
33,1,0.6000
33,2,0.5500
33,3,0.9000
33,4,0.7407
34,1,0.6000
34,2,0.6667
34,3,0.7895
34,4,0.5517
35,1,0.8500
35,2,0.7000
35,3,0.7619
35,4,0.5517
36,1,0.6000
36,2,0.8696
36,3,0.9474
36,4,0.5517
37,1,0.6000
37,2,0.6667
37,3,0.7895
37,4,0.5517
38,1,0.6000
38,2,0.7000
38,3,0.7143
38,4,0.5517
39,1,0.6000
39,2,0.7000
39,3,0.5455
39,4,0.4828
40,1,0.6000
40,2,0.7826
40,3,0.4800
40,4,0.6522
41,1,0.8500
41,2,0.7000
41,3,0.9474
41,4,0.5556
42,1,0.5217
42,2,0.7000
42,3,1.0000
42,4,1.0000
43,1,0.6000
43,2,0.7000
43,3,0.5455
43,4,0.4545
44,1,0.6000
44,2,0.7000
44,3,0.5455
44,4,0.4828
45,1,0.8500
45,2,0.7500
45,3,0.8947
45,4,0.5926
46,1,0.6000
46,2,0.6667
46,3,0.9474
46,4,0.5806
47,1,0.6000
47,2,0.7500
47,3,0.5217
47,4,0.6522
48,1,0.6000
48,2,1.0000
48,3,0.9474
48,4,0.5517
49,1,0.4167
49,2,0.7000
49,3,1.0000
49,4,1.0000
50,1,0.6000
50,2,0.7200
50,3,0.9474
50,4,0.6154
