trial,block,n,jaccard,rank
0,1,17,0.8947,1
0,2,20,0.7273,2
0,3,19,0.4333,3
0,4,23,0.3056,4
1,1,17,0.4762,3
1,2,20,0.8095,2
1,3,19,0.5000,5
1,4,23,0.5833,6
2,1,17,0.5000,3
2,2,20,0.6000,6
2,3,19,0.6667,5
2,4,23,0.4595,4
3,1,17,0.5455,2
3,2,20,0.4571,1
3,3,19,0.3514,1
3,4,23,0.5385,3
4,1,17,0.5455,3
4,2,20,0.8571,2
4,3,19,0.6522,4
4,4,23,0.7308,5
5,1,17,0.4545,3
5,2,20,0.4571,2
5,3,19,0.3158,2
5,4,23,0.4815,4
6,1,17,0.6957,1
6,2,20,0.6000,2
6,3,19,0.4643,2
6,4,23,0.5000,3
7,1,17,0.5000,5
7,2,20,0.3056,2
7,3,19,0.3939,2
7,4,23,0.8000,6
8,1,17,0.5455,2
8,2,20,0.8500,3
8,3,19,0.8571,5
8,4,23,0.6923,6
9,1,17,0.3636,3
9,2,20,0.4000,2
9,3,19,0.5625,2
9,4,23,0.4839,5
10,1,17,0.6190,1
10,2,20,0.6800,2
10,3,19,0.4231,4
10,4,23,0.4194,3
11,1,17,0.5238,3
11,2,20,0.7826,2
11,3,19,0.4444,5
11,4,23,0.6538,3
12,1,17,0.5455,3
12,2,20,0.9000,4
12,3,19,0.8947,5
12,4,23,0.4839,6
13,1,17,0.3125,4
13,2,20,0.4583,3
13,3,19,0.5238,6
13,4,23,0.5000,5
14,1,17,0.4138,1
14,2,20,0.5500,2
14,3,19,0.2222,4
14,4,23,0.4828,1
15,1,17,0.4348,4
15,2,20,0.5000,5
15,3,19,0.7368,6
15,4,23,0.4138,7
16,1,17,0.2941,1
16,2,20,0.7727,2
16,3,19,0.4074,4
16,4,23,0.3871,4
17,1,17,0.5000,2
17,2,20,0.8182,3
17,3,19,0.3125,4
17,4,23,0.2778,4
18,1,17,0.4444,5
18,2,20,0.7500,3
18,3,19,0.6667,7
18,4,23,0.4516,4
19,1,17,0.5217,2
19,2,20,0.9524,4
19,3,19,0.6087,6
19,4,23,0.3793,5
20,1,17,0.5000,1
20,2,20,0.6000,6
20,3,19,0.5000,2
20,4,23,0.4286,3
21,1,17,0.5517,1
21,2,20,0.4500,2
21,3,19,0.4138,2
21,4,23,0.5172,3
22,1,17,0.3214,3
22,2,20,0.8000,2
22,3,19,0.4800,4
22,4,23,0.6296,6
23,1,17,0.8889,1
23,2,20,0.5000,2
23,3,19,0.3947,2
23,4,23,0.4783,3
24,1,17,0.3704,4
24,2,20,0.6667,3
24,3,19,0.6500,5
24,4,23,0.6538,6
25,1,17,0.7143,2
25,2,20,0.3824,3
25,3,19,0.3529,3
25,4,23,0.6800,4
26,1,17,0.3333,2
26,2,20,0.7500,3
26,3,19,0.5000,5
26,4,23,0.5385,6
27,1,17,0.6667,1
27,2,20,0.7619,2
27,3,19,0.5000,4
27,4,23,0.4000,6
28,1,17,0.7222,1
28,2,20,0.6500,2
28,3,19,0.5172,3
28,4,23,0.8750,5
29,1,17,0.5714,3
29,2,20,0.9000,1
29,3,19,0.5455,5
29,4,23,0.6333,4
30,1,17,0.5000,2
30,2,20,0.5714,1
30,3,19,0.2917,3
30,4,23,0.5862,4
31,1,17,0.5385,1
31,2,20,0.4000,2
31,3,19,0.4000,2
31,4,23,0.5484,5
32,1,17,0.5500,2
32,2,20,0.9091,4
32,3,19,0.3793,3
32,4,23,0.4815,3
33,1,17,0.3103,2
33,2,20,0.5000,4
33,3,19,0.6000,3
33,4,23,0.6154,5
34,1,17,0.6190,1
34,2,20,0.7826,5
34,3,19,0.5500,8
34,4,23,0.4333,6
35,1,17,0.4583,4
35,2,20,0.8095,2
35,3,19,0.8571,6
35,4,23,0.6429,5
36,1,17,0.4400,2
36,2,20,0.7500,5
