trial,winner_n,winner_eps,winner_members
0,19,0.4839,A12 A14 A23 A24 D09 D16 D18 D24 E18 E19 P16 P31 S16 S25 S29 S30 X14 X16 X17
1,9,0.5000,A22 A23 D24 E18 P31 S28 S29 X15 X16
2,5,0.1875,A23 D24 P31 S29 X16
3,31,0.4609,A04 A05 A07 A15 A18 A20 A26 D04 D14 D15 D26 E05 E06 P02 P05 P30 P32 S08 S20 S21 S22 S26 S31 X04 X05 X06 X08 X09 X10 X13 X19
4,5,0.2353,A23 D24 P31 S29 X16
5,5,0.1333,A23 D24 P31 S29 X16
6,22,0.4000,A12 A14 A22 A23 A24 D09 D16 D18 D23 D24 E18 E19 P16 P18 P31 S28 S29 S30 X14 X15 X16 X17
7,5,0.1538,A23 D24 P31 S29 X16
8,5,0.1250,A23 D24 P31 S29 X16
9,5,0.2308,A23 D24 P31 S29 X16
10,17,0.2881,A12 A22 A23 A24 D23 D24 E18 E19 P16 P31 S28 S29 S30 X14 X15 X16 X17
11,23,0.3377,A09 A10 A11 A21 D01 D05 D06 D07 D08 D19 D20 P07 P08 P09 P10 P11 P12 P13 P15 P24 P25 P26 X07
12,5,0.1429,A23 D24 P31 S29 X16
13,19,0.6508,A11 D08 D20 E10 E11 P11 P12 P13 P14 P15 P24 P29 S04 S05 S06 S10 S11 S15 S24
14,24,0.4507,A13 A14 A17 A22 A23 D09 D16 D18 D23 D24 E18 E19 P31 S16 S28 S29 X03 X05 X07 X11 X12 X14 X15 X16
15,5,0.1176,A23 D24 P31 S29 X16
16,5,0.1333,A23 D24 P31 S29 X16
17,5,0.2143,A23 D24 P31 S29 X16
18,5,0.2500,A23 D24 P31 S29 X16
19,5,0.2941,A12 A24 P16 S30 X17
20,16,0.4082,A14 A22 A23 D09 D16 D18 D24 E18 E19 P31 S28 S29 X12 X14 X15 X16
21,28,0.3553,A12 A13 A14 A17 A22 A23 A24 D09 D18 D23 D24 E18 E19 P16 P31 S16 S28 S29 S30 X03 X05 X07 X11 X12 X14 X15 X16 X17
22,11,0.5526,A12 A24 D02 D17 D21 P16 S14 S19 S23 S30 X17
