lambda,winner,winner_score,P4-71,P2-46,P2-02,P2-01,P3-09
0.0,P4-71,58.00,58.00,55.00,54.00,55.00,54.00
0.05,P4-71,59.05,59.05,55.95,54.95,55.85,54.85
0.1,P4-71,60.10,60.10,56.90,55.90,56.70,55.70
0.15,P4-71,61.15,61.15,57.85,56.85,57.55,56.55
0.2,P4-71,62.20,62.20,58.80,57.80,58.40,57.40
0.25,P4-71,63.25,63.25,59.75,58.75,59.25,58.25
0.3,P4-71,64.30,64.30,60.70,59.70,60.10,59.10
0.35,P4-71,65.35,65.35,61.65,60.65,60.95,59.95
0.4,P4-71,66.40,66.40,62.60,61.60,61.80,60.80
0.45,P4-71,67.45,67.45,63.55,62.55,62.65,61.65
0.5,P4-71,68.50,68.50,64.50,63.50,63.50,62.50
0.55,P4-71,69.55,69.55,65.45,64.45,64.35,63.35
0.6,P4-71,70.60,70.60,66.40,65.40,65.20,64.20
0.65,P4-71,71.65,71.65,67.35,66.35,66.05,65.05
0.7,P4-71,72.70,72.70,68.30,67.30,66.90,65.90
0.75,P4-71,73.75,73.75,69.25,68.25,67.75,66.75
0.8,P4-71,74.80,74.80,70.20,69.20,68.60,67.60
0.85,P4-71,75.85,75.85,71.15,70.15,69.45,68.45
0.9,P4-71,76.90,76.90,72.10,71.10,70.30,69.30
0.95,P4-71,77.95,77.95,73.05,72.05,71.15,70.15
1.0,P4-71,79.00,79.00,74.00,73.00,72.00,71.00
1.05,P4-71,80.05,80.05,74.95,73.95,72.85,71.85
1.1,P4-71,81.10,81.10,75.90,74.90,73.70,72.70
1.15,P4-71,82.15,82.15,76.85,75.85,74.55,73.55
1.2,P4-71,83.20,83.20,77.80,76.80,75.40,74.40
1.25,P4-71,84.25,84.25,78.75,77.75,76.25,75.25
1.3,P4-71,85.30,85.30,79.70,78.70,77.10,76.10
1.35,P4-71,86.35,86.35,80.65,79.65,77.95,76.95
1.4,P4-71,87.40,87.40,81.60,80.60,78.80,77.80
1.45,P4-71,88.45,88.45,82.55,81.55,79.65,78.65
1.5,P4-71,89.50,89.50,83.50,82.50,80.50,79.50
1.55,P4-71,90.55,90.55,84.45,83.45,81.35,80.35
1.6,P4-71,91.60,91.60,85.40,84.40,82.20,81.20
1.65,P4-71,92.65,92.65,86.35,85.35,83.05,82.05
1.7,P4-71,93.70,93.70,87.30,86.30,83.90,82.90
1.75,P4-71,94.75,94.75,88.25,87.25,84.75,83.75
1.8,P4-71,95.80,95.80,89.20,88.20,85.60,84.60
1.85,P4-71,96.85,96.85,90.15,89.15,86.45,85.45
1.9,P4-71,97.90,97.90,91.10,90.10,87.30,86.30
1.95,P4-71,98.95,98.95,92.05,91.05,88.15,87.15
2.0,P4-71,100.00,100.00,93.00,92.00,89.00,88.00
