row,scheme,rank,acceptability
P4-71,centred,1,0.9028
P4-71,centred,2,0.0396
P4-71,centred,3,0.0182
P4-71,centred,4,0.0171
P4-71,centred,5,0.0058
P4-71,centred,6,0.0036
P4-71,centred,7,0.0027
P4-71,centred,8,0.0012
P4-71,centred,9,0.0012
P4-71,centred,10,0.0003
P2-46,centred,1,0.0411
P2-46,centred,2,0.5066
P2-46,centred,3,0.1296
P2-46,centred,4,0.0409
P2-46,centred,5,0.0440
P2-46,centred,6,0.0283
P2-46,centred,7,0.0245
P2-46,centred,8,0.0185
P2-46,centred,9,0.0159
P2-46,centred,10,0.0119
P2-02,centred,1,0.0000
P2-02,centred,2,0.0162
P2-02,centred,3,0.3158
P2-02,centred,4,0.2181
P2-02,centred,5,0.0502
P2-02,centred,6,0.0579
P2-02,centred,7,0.0394
P2-02,centred,8,0.0369
P2-02,centred,9,0.0247
P2-02,centred,10,0.0209
P2-01,centred,1,0.0000
P2-01,centred,2,0.0101
P2-01,centred,3,0.1322
P2-01,centred,4,0.2276
P2-01,centred,5,0.0961
P2-01,centred,6,0.0401
P2-01,centred,7,0.0646
P2-01,centred,8,0.0464
P2-01,centred,9,0.0337
P2-01,centred,10,0.0269
P3-09,centred,1,0.0095
P3-09,centred,2,0.0774
P3-09,centred,3,0.0682
P3-09,centred,4,0.0658
P3-09,centred,5,0.1437
P3-09,centred,6,0.0827
P3-09,centred,7,0.0720
P3-09,centred,8,0.0639
P3-09,centred,9,0.0545
P3-09,centred,10,0.0431
P4-24,centred,1,0.0282
P4-24,centred,2,0.1337
P4-24,centred,3,0.0666
P4-24,centred,4,0.0474
P4-24,centred,5,0.0762
P4-24,centred,6,0.0746
P4-24,centred,7,0.0481
P4-24,centred,8,0.0493
P4-24,centred,9,0.0566
P4-24,centred,10,0.0563
P1-12,centred,1,0.0000
P1-12,centred,2,0.0052
P1-12,centred,3,0.0001
P1-12,centred,4,0.0428
P1-12,centred,5,0.0379
P1-12,centred,6,0.1482
P1-12,centred,7,0.0741
P1-12,centred,8,0.0848
